index_date,btc_usd,volume,low,open
2017-01-01,984.39961841094,4346037663.51024,689.009176896328,936.874621440675
2017-02-01,1154.27833584189,3912860610.21722,866.073846176049,1010.39819438372
2017-03-01,1339.67036508276,10134739528.2575,977.058817164084,1160.47031756209
2017-04-01,1304.57802735206,7947075914.31447,1191.32458298475,1337.37892372336
2017-05-01,2042.2492689819,26026266287.5937,1325.10439364349,1398.96645315271
2017-06-01,2569.2651600348,45821101293.5269,2120.47004796601,2099.31778791589
2017-07-01,2672.64564128249,41734021532.779,1735.71226881146,2564.46103146473
2017-08-01,4280.94426721667,79234930520.057,2391.40231460349,2702.76961272201
2017-09-01,4817.55859691938,69608811515.5033,2917.44388898233,4277.36626118053
2017-10-01,6184.61546439483,66944274003.4032,4473.86770450805,4627.97953146998
2017-11-01,10574.0777826586,154886250788.789,6143.99004996475,6018.99427677716
2017-12-01,14591.3928577232,419367407360.458,10671.7176414365,10313.000519954
2018-01-01,10376.9514672349,352688759265.71,8602.02919658332,13813.459679622
2018-02-01,10053.9329544847,208211106861.099,5497.21371148367,10660.3494722262
2018-03-01,8526.33304500618,180763933496.209,7063.20576149802,10092.5464036386
2018-04-01,8748.55685016932,162098360900.185,7278.21418101828,8570.78547180936
2018-05-01,6755.05547942424,149825036665.776,6969.10482172991,9406.80957221549
2018-06-01,6707.43891293015,134368017913.168,5628.34532995878,6952.2724482651
2018-07-01,7302.73477488841,183575095975.623,5872.55622230347,6657.68752517627
2018-08-01,6486.32607706068,164092094583.524,5379.69365577023,7351.01919570759
2018-09-01,7451.08485931703,159378117283.237,6177.55622340297,6464.23361669363
2018-10-01,6093.03455422035,134801906053.399,6712.92035715876,7147.56345748614
2018-11-01,4151.13401318153,172242826047.308,3991.98659371225,5934.36565830057
2018-12-01,3852.3676159418,171997165609.247,3481.19886753609,4063.61404066699
2019-01-01,3526.7756171305,144317039640.876,3140.93038882415,3703.92318860002
2019-02-01,3649.35594288775,179809769609.025,3066.02292259861,3610.09197106707
2019-03-01,4775.57477732174,277515147432.588,3762.13100419081,3671.28096261164
2019-04-01,4879.1482499357,376608411745.894,4515.41211803113,4805.59205939446
2019-05-01,7857.46423483447,550899895922.541,5267.16452226279,5264.95362110491
2019-06-01,11684.4740716071,696773287643.986,7422.98565499784,8147.23054472694
2019-07-01,9538.60689026503,889280032312.985,9013.97396180817,11384.0025412336
2019-08-01,9215.63565864441,653531931268.574,8647.84685614276,9602.69501137618
2019-09-01,9413.09807760523,574599077899.794,7841.88164320365,9075.96273747678
2019-10-01,8950.48305484911,668110824781.887,7997.66139273208,8999.28202771576
2019-11-01,7860.1245957687,729612586664.614,7333.67447816557,8669.82056930358
2019-12-01,7361.89650209663,649219475813.13,7007.74315868595,7676.82321110659
2020-01-01,9530.18055273742,739068915156.598,6455.05245030739,7153.75352943957
2020-02-01,7958.18525241961,1055549754843.75,7684.69759158315,9702.67993486582
2020-03-01,6959.54216104464,1205720715588.7,3910.35685279109,8040.15640679944
2020-04-01,7654.21707337551,979163964747.688,6656.16411405042,7057.0751519689
2020-05-01,8832.38890442849,979018158845.423,8339.3869552365,8343.99381620585
2020-06-01,10243.3164877655,671031140912.583,8982.64501633901,9235.50884136605
2020-07-01,10894.7002207845,717577155779.38,9151.91017602986,9790.80232082529
2020-08-01,11675.774073622,866966438367.761,10433.6327553631,11061.3992721038
2020-09-01,12400.2668338172,1286538414706.78,10101.6204415759,11387.5846914624
2020-10-01,13524.50623471,1179594426760.22,11058.761621931,11755.298959554
2020-11-01,20245.7782523042,1178237973456.95,14399.7786626138,13032.9390014933
2020-12-01,29550.7150678103,1241771167807.73,18340.6846036885,19621.7733529768
2021-01-01,33528.5077391123,1866124047614.05,27230.2038645902,28960.0996578638
2021-02-01,40682.8768627767,2057023449740.45,29138.7242174207,34122.3585148858
2021-03-01,59622.6660479995,1570809537320.72,40988.0975183399,41376.4417564687
2021-04-01,50041.3493793727,1562155219706.02,49555.6646397559,61079.4463520842
2021-05-01,35529.7546089209,1504328975956.82,30675.7516673993,54474.166899711
2021-06-01,40766.4368477099,1226415966447.83,29502.2142539127,37489.978249402
2021-07-01,40638.3472096418,1075488702322.0,31251.5715134159,38142.4222685249
2021-08-01,49110.6126114999,1239694912577.12,36761.2860390134,41629.7195227788
2021-09-01,50798.3660567969,1316272431625.72,41061.7373003221,47410.5522712647
2021-10-01,61077.7435028584,1290746568850.66,45595.9724885714,47614.9754442319
2021-11-01,58470.4542661082,1132006821834.09,57020.9826183449,58556.2272249444
2021-12-01,46606.3098103005,978365765709.712,43508.8107733868,56011.6806989323
2022-01-01,38602.5234131944,820540501865.567,31585.0101245639,45968.478081818
2022-02-01,38218.5934749446,596667004802.725,30950.1311096862,39252.1868394428
2022-03-01,43787.9735369893,781169263347.684,32828.8130160872,39056.4797590371
2022-04-01,32429.3366269359,721865989423.228,38622.0136833071,45137.5042258563
2022-05-01,30798.1071215888,826137688877.047,26503.2248999368,35322.8456793338
2022-06-01,23629.1054973261,961163135901.651,18434.2949283975,32691.7924470847
2022-07-01,,779595804982.833,19886.7668681886,34229.2464241281
2022-08-01,,813111946441.011,18300.9177740035,32592.7133556033
2022-09-01,,773194131102.169,19080.5063627429,32484.4216297479
2022-10-01,,739952490568.304,19045.4229453927,34825.9614487532
2022-11-01,,710581930772.184,19161.9571292242,30949.4044647739
2022-12-01,,699532407249.399,18364.0940009486,31189.0876812668
