index_date,eth_usd_observed,eth_usd_fitted,eth_usd_predicted,std_error,ci_95_lower,ci_95_upper
2017-01-01,9.30005835341093,,,,,
2017-02-01,14.1799887736357,31.45472808814603,,,,
2017-03-01,65.4993648363784,49.347287307507706,,,,
2017-04-01,74.8800715311126,78.11895739781542,,,,
2017-05-01,176.354659680139,127.94767535324277,,,,
2017-06-01,240.054801894346,235.9636106385896,,,,
2017-07-01,194.188622023859,115.26425355224788,,,,
2017-08-01,399.318417576715,340.0687902087037,,,,
2017-09-01,358.321173786189,376.81258755364195,,,,
2017-10-01,359.992645923406,373.5669948745447,,,,
2017-11-01,586.701112921965,428.3709524532702,,,,
2017-12-01,830.950817169497,755.8796598649946,,,,
2018-01-01,972.274548226883,600.1553188072822,,,,
2018-02-01,768.932660178509,1019.4089066874169,,,,
2018-03-01,501.852735688113,783.8961180045746,,,,
2018-04-01,619.021928900101,456.7448934389316,,,,
2018-05-01,448.40084134573,696.1481586842401,,,,
2018-06-01,383.56261938866,354.42748906227047,,,,
2018-07-01,416.454592115765,474.92468262490627,,,,
2018-08-01,294.286160906065,318.11920400364556,,,,
2018-09-01,277.107456787527,372.21577159526413,,,,
2018-10-01,230.187776422556,313.13281376085405,,,,
2018-11-01,142.356329783609,139.54239301709353,,,,
2018-12-01,146.376695729934,134.0449296027056,,,,
2019-01-01,95.5796482811549,-10.405896578556135,,,,
2019-02-01,123.565432555571,257.02059900764544,,,,
2019-03-01,165.972349180483,281.5229773854553,,,,
2019-04-01,143.440635126292,104.01679492659015,,,,
2019-05-01,215.014248841006,301.2937724076591,,,,
2019-06-01,263.899227116638,247.12341634578462,,,,
2019-07-01,212.511220675749,262.1993615737988,,,,
2019-08-01,182.439476075433,231.17526154020044,,,,
2019-09-01,210.093214249126,291.0306532456077,,,,
2019-10-01,207.465013578407,248.00835562497568,,,,
2019-11-01,178.916090758559,250.38903350597937,,,,
2019-12-01,142.150862881571,196.42031696035417,,,,
2020-01-01,167.674537871296,198.66789607352726,,,,
2020-02-01,202.240724587338,248.33314344064598,,,,
2020-03-01,141.793293515087,153.25203799595974,,,,
2020-04-01,178.611095097515,192.8528609655216,,,,
2020-05-01,191.939007941836,173.66109538263558,,,,
2020-06-01,220.994913305073,224.5082929398508,,,,
2020-07-01,348.813863441834,280.44024221312475,,,,
2020-08-01,469.232852305457,384.1627935520285,,,,
2020-09-01,414.928348457751,475.8452330152554,,,,
2020-10-01,418.411107781639,410.9230348334004,,,,
2020-11-01,665.333581412154,557.2512181688842,,,,
2020-12-01,804.679078309119,726.646492077589,,,,
2021-01-01,1262.25828950975,945.1494280327083,,,,
2021-02-01,1313.3450883986,1248.6720860793303,,,,
2021-03-01,1890.63932250004,1250.5074735039655,,,,
2021-04-01,2329.06477544202,2226.6181060438125,,,,
2021-05-01,2363.63844362593,2404.774748948942,,,,
2021-06-01,2419.50719182225,1647.9591196199551,,,,
2021-07-01,2628.29183336023,2741.443042379936,,,,
2021-08-01,3753.09761000685,3059.9666245248286,,,,
2021-09-01,3392.23700457986,3668.2025897448543,,,,
2021-10-01,4521.95154794371,3521.005206069898,,,,
2021-11-01,4714.69934652341,4406.67384572325,,,,
2021-12-01,3975.56314148364,4286.2219108811,,,,
2022-01-01,2610.16458166608,3048.5149221382508,,,,
2022-02-01,2752.63611389571,3232.0119771071354,,,,
2022-03-01,3082.99547207231,3070.528908256266,,,,
2022-04-01,2277.83665952493,2623.534515091099,,,,
2022-05-01,1748.76225467791,1856.5856251113032,,,,
2022-06-01,1195.40822686666,1688.7422633814836,,,,
2022-07-01,,,1688.7422633814836,252.85293455660067,1193.159618265283,2184.324908497684
2022-08-01,,,1546.9251604688786,368.04140090660206,1051.342515352678,2042.5078055850793
2022-09-01,,,1325.822673909074,454.9443252187061,604.4747833124667,2047.1705645056813
2022-10-01,,,1186.2288661117611,527.7255018625815,294.5543737122197,2077.9033585113025
2022-11-01,,,884.130062891328,591.6198708491147,-150.192914482657,1918.453040265313
2022-12-01,,,810.1057979592939,649.2564499879326,-349.4478414432091,1969.6594373617968
